Token          Lexeme
---------------------
illegal        ï
illegal        »
illegal        ¿
operator       =
operator       !=
operator       >
operator       <
operator       <=
operator       =>
operator       +
operator       -
operator       *
operator       /
operator       ==
operator       +
operator       -
operator       *
operator       /
separator      $
separator      {
separator      }
separator      ;
separator      ,
separator      (
separator      )
operator       =
separator      )
separator      (
keyword        integer
keyword        boolean
keyword        real
separator      {
separator      }
separator      ;
separator      ,
keyword        if
keyword        else
keyword        endif
keyword        return
keyword        scan
keyword        while
keyword        endwhile
keyword        true
keyword        false
integer        1
integer        1000
integer        99
integer        00000000000000
real           234.567
real           9.000001
real           000.00
identifier     z12_d_
identifier     Zzzz
identifier     a1z4r
identifier     zbc12__x
identifier     x
illegal        #
illegal        _
illegal        23rty
illegal        000.
illegal        .123
