Token          Lexeme
---------------------
separator      $
keyword        function
identifier     factorial
separator      (
identifier     num
keyword        real
separator      )
separator      {
keyword        if
separator      (
identifier     num
operator       <=
integer        1
separator      )
separator      {
keyword        return
real           1.0000
separator      ;
separator      }
keyword        else
separator      {
keyword        return
identifier     num
operator       *
identifier     factorial
separator      (
identifier     num
operator       -
integer        1
separator      )
separator      ;
separator      }
keyword        endif
separator      }
identifier     int
identifier     n
operator       =
integer        5
separator      ;
keyword        integer
identifier     result
operator       =
identifier     factorial
separator      (
identifier     n
separator      )
separator      ;
keyword        print
separator      (
identifier     result
separator      )
separator      ;
separator      $
